investor_id,Average_Gap_Days,Total_Transactions,Total_Investment,SIP_Status
INV000163,47.44444444444444,10,820316,At Risk
INV000164,61.8,6,25253,At Risk
INV000165,58.875,9,1305699,At Risk
INV000166,83.0,7,724893,At Risk
INV000167,63.0,9,832173,At Risk
INV000168,192.0,3,253235,At Risk
INV000169,41.18181818181818,12,955776,At Risk
INV000170,25.5,3,191963,Active
INV000171,86.66666666666667,4,498641,At Risk
INV000172,100.0,5,264205,At Risk
INV000173,34.6,11,1193694,Active
INV000174,68.28571428571429,8,1006601,At Risk
INV000175,45.63636363636363,12,552311,At Risk
INV000176,119.25,5,213899,At Risk
INV000177,45.8,11,1297837,At Risk
INV000178,230.0,2,8750,At Risk
INV000179,35.8,6,264872,At Risk
INV000180,47.857142857142854,8,518114,At Risk
INV000181,52.333333333333336,10,1237265,At Risk
INV000182,55.22222222222222,10,686041,At Risk
INV000183,41.54545454545455,12,779515,At Risk
INV000184,,1,6111,Active
INV000185,196.0,2,14773,At Risk
INV000186,121.0,2,717823,At Risk
INV000187,,1,185221,Active
INV000188,219.0,2,511402,At Risk
INV000189,91.6,6,430516,At Risk
INV000190,65.71428571428571,8,919360,At Risk
INV000191,42.4,11,873257,At Risk
INV000192,57.0,8,702787,At Risk
INV000193,58.25,9,1152639,At Risk
INV000194,33.72727272727273,12,1383163,Active
INV000195,45.77777777777778,10,651434,At Risk
INV000196,56.75,9,450427,At Risk
INV000197,134.66666666666666,4,673748,At Risk
INV000198,,1,462,Active
INV000199,64.33333333333333,7,737787,At Risk
INV000200,69.83333333333333,7,1174752,At Risk
INV000201,48.666666666666664,10,257189,At Risk
INV000202,174.0,3,423540,At Risk
INV000203,39.875,9,1119242,At Risk
INV000204,69.0,7,1192888,At Risk
INV000205,48.666666666666664,10,763652,At Risk
INV000206,130.0,3,616094,At Risk
INV000207,95.0,5,66956,At Risk
INV000208,,1,2572,Active
INV000209,29.0,2,58689,Active
INV000210,61.875,9,515430,At Risk
INV000211,61.0,9,808138,At Risk
INV000212,88.0,2,365168,At Risk
INV000213,54.0,6,447781,At Risk
INV000214,52.666666666666664,10,1345476,At Risk
INV000215,56.375,9,715932,At Risk
INV000216,53.0,6,201946,At Risk
INV000217,46.0,11,1591554,At Risk
INV000218,,1,8003,Active
INV000219,63.0,5,606953,At Risk
INV000220,80.6,6,214477,At Risk
INV000221,38.42857142857143,8,690183,At Risk
INV000222,45.6,6,591433,At Risk
INV000223,49.8,11,1429882,At Risk
INV000224,57.5,7,461098,At Risk
INV000225,53.714285714285715,8,1295037,At Risk
INV000226,69.57142857142857,8,770094,At Risk
INV000227,56.75,5,742149,At Risk
INV000228,43.45454545454545,12,1139471,At Risk
INV000229,46.333333333333336,7,351011,At Risk
INV000230,50.666666666666664,10,871715,At Risk
INV000231,34.1,11,1384176,Active
INV000232,205.0,2,281312,At Risk
INV000233,205.0,2,332214,At Risk
INV000234,81.16666666666667,7,1023999,At Risk
INV000235,42.111111111111114,10,1555926,At Risk
INV000236,67.14285714285714,8,112217,At Risk
INV000237,81.5,3,383052,At Risk
INV000238,52.0,10,1046071,At Risk
INV000239,34.2,11,933691,Active
INV000240,74.0,2,122545,At Risk
INV000241,40.888888888888886,10,1587726,At Risk
INV000242,49.55555555555556,10,1205258,At Risk
INV000243,63.0,8,597733,At Risk
INV000244,34.0,9,1636852,Active
INV000245,46.1,11,1278858,At Risk
INV000246,92.33333333333333,4,54530,At Risk
INV000247,,1,164460,Active
INV000248,85.33333333333333,4,485895,At Risk
INV000249,39.0,8,694554,At Risk
INV000250,,1,107697,Active
INV000251,65.0,6,1185941,At Risk
INV000252,36.77777777777778,10,1629324,At Risk
INV000253,458.0,2,406328,At Risk
INV000254,249.0,2,51387,At Risk
INV000255,56.0,8,563828,At Risk
INV000256,38.45454545454545,12,1910266,At Risk
INV000257,53.285714285714285,8,1025371,At Risk
INV000258,,1,11103,Active
INV000259,44.125,9,759815,At Risk
INV000260,37.90909090909091,12,922766,At Risk
INV000261,50.44444444444444,10,1663672,At Risk
INV000262,34.09090909090909,12,886465,Active
INV000263,59.875,9,361956,At Risk
INV000264,81.5,3,64609,At Risk
INV000265,43.72727272727273,12,482980,At Risk
INV000266,62.166666666666664,7,822551,At Risk
INV000267,34.45454545454545,12,2202108,Active
INV000268,43.2,11,1146388,At Risk
INV000269,112.0,4,326686,At Risk
INV000270,48.8,6,951377,At Risk
INV000271,93.6,6,835693,At Risk
INV000272,96.33333333333333,4,70152,At Risk
INV000273,,1,11637,Active
INV000274,89.2,6,323960,At Risk
INV000275,134.33333333333334,4,404646,At Risk
INV000276,68.4,6,464251,At Risk
INV000277,,1,4236,Active
INV000278,67.0,8,1422228,At Risk
INV000279,31.545454545454547,12,840511,Active
INV000280,40.54545454545455,12,822770,At Risk
INV000281,136.33333333333334,4,538049,At Risk
INV000282,114.0,4,664580,At Risk
INV000283,46.5,11,1591615,At Risk
INV000284,63.666666666666664,7,775076,At Risk
INV000285,65.5,5,681359,At Risk
INV000286,79.5,7,467468,At Risk
INV000287,52.375,9,461954,At Risk
INV000288,57.125,9,1650419,At Risk
INV000289,39.90909090909091,12,1389256,At Risk
INV000290,106.33333333333333,4,704907,At Risk
INV000291,55.625,9,873779,At Risk
INV000292,35.8,11,1291756,At Risk
INV000293,45.45454545454545,12,1168787,At Risk
INV000294,62.333333333333336,7,645749,At Risk
INV000295,48.5,3,195552,At Risk
INV000296,58.57142857142857,8,1706946,At Risk
INV000297,56.625,9,928050,At Risk
INV000298,74.0,6,74176,At Risk
INV000299,48.8,11,1337619,At Risk
INV000300,76.5,3,14575,At Risk
INV000301,45.666666666666664,7,523438,At Risk
INV000302,25.0,2,309373,Active
INV000303,88.4,6,670626,At Risk
INV000304,53.111111111111114,10,1265097,At Risk
INV000305,44.0,9,765008,At Risk
INV000306,76.0,3,11664,At Risk
INV000307,75.66666666666667,7,1411626,At Risk
INV000308,82.66666666666667,7,540841,At Risk
INV000309,41.54545454545455,12,1259367,At Risk
INV000310,41.36363636363637,12,1787399,At Risk
INV000311,101.33333333333333,4,142879,At Risk
INV000312,68.42857142857143,8,1201938,At Risk
INV000313,126.75,5,655226,At Risk
INV000314,50.25,9,971772,At Risk
INV000315,56.75,5,255784,At Risk
INV000316,77.0,6,118055,At Risk
INV000317,110.5,5,392240,At Risk
INV000318,69.57142857142857,8,466640,At Risk
INV000319,55.125,9,825578,At Risk
INV000320,38.18181818181818,12,1910965,At Risk
INV000321,44.27272727272727,12,1267701,At Risk
INV000322,143.66666666666666,4,431850,At Risk
INV000323,59.6,6,1068233,At Risk
INV000324,250.0,3,356264,At Risk
INV000325,113.5,3,44535,At Risk
INV000326,74.4,6,735272,At Risk
INV000327,167.66666666666666,4,478040,At Risk
INV000328,29.545454545454547,12,541051,Active
INV000329,88.66666666666667,4,5399,At Risk
INV000330,55.625,9,1544463,At Risk
INV000331,47.7,11,773534,At Risk
INV000332,64.4,6,591213,At Risk
INV000333,90.2,6,694900,At Risk
INV000334,26.636363636363637,12,1770884,Active
INV000335,48.0,11,1467810,At Risk
INV000336,150.0,2,3390,At Risk
INV000337,69.0,7,458922,At Risk
INV000338,29.666666666666668,4,415921,Active
INV000339,57.111111111111114,10,1005552,At Risk
INV000340,25.6,6,347164,Active
INV000341,46.1,11,475696,At Risk
INV000342,,1,7174,Active
INV000343,126.66666666666667,4,720449,At Risk
INV000344,41.22222222222222,10,1429887,At Risk
INV000345,,1,4370,Active
INV000346,52.8,6,1172985,At Risk
INV000347,224.0,2,133664,At Risk
INV000348,109.66666666666667,4,305135,At Risk
INV000349,45.2,11,1551948,At Risk
INV000350,85.0,2,16928,At Risk
INV000351,49.57142857142857,8,630255,At Risk
INV000352,64.6,6,247916,At Risk
INV000353,173.0,3,500797,At Risk
INV000354,78.16666666666667,7,974461,At Risk
INV000355,,1,55250,Active
INV000356,38.857142857142854,8,770550,At Risk
INV000357,86.25,5,379725,At Risk
INV000358,88.0,2,333640,At Risk
INV000359,48.111111111111114,10,147644,At Risk
INV000360,61.125,9,1465276,At Risk
INV000361,46.0,6,1297014,At Risk
INV000362,264.0,2,501758,At Risk
INV000363,66.0,8,355671,At Risk
INV000364,63.0,4,443905,At Risk
INV000365,,1,44320,Active
INV000366,35.142857142857146,8,688501,At Risk
INV000367,42.25,5,143245,At Risk
INV000368,509.0,2,357375,At Risk
INV000369,37.714285714285715,8,427741,At Risk
INV000370,93.4,6,554406,At Risk
INV000371,41.5,11,540463,At Risk
INV000372,42.888888888888886,10,728695,At Risk
INV000373,145.5,3,318848,At Risk
INV000374,55.857142857142854,8,1367561,At Risk
INV000375,,1,268483,Active
INV000376,106.5,3,526293,At Risk
INV000377,61.42857142857143,8,1199665,At Risk
INV000378,47.0,6,867796,At Risk
INV000379,112.0,4,405119,At Risk
INV000380,80.83333333333333,7,263416,At Risk
INV000381,114.0,2,169253,At Risk
INV000382,70.0,2,240733,At Risk
INV000383,52.333333333333336,10,1064317,At Risk
INV000384,57.833333333333336,7,642851,At Risk
INV000385,69.5,5,211287,At Risk
INV000386,,1,57205,Active
INV000387,48.0,9,1638380,At Risk
INV000388,47.666666666666664,10,499712,At Risk
INV000389,95.0,6,140056,At Risk
INV000390,52.42857142857143,8,1090714,At Risk
INV000391,,1,868,Active
INV000392,42.72727272727273,12,1364227,At Risk
INV000393,75.33333333333333,7,1630709,At Risk
INV000394,44.1,11,1528067,At Risk
INV000395,51.5,9,353000,At Risk
INV000396,44.63636363636363,12,1713946,At Risk
INV000397,87.2,6,704094,At Risk
INV000398,72.0,2,368513,At Risk
INV000399,44.6,11,273222,At Risk
INV000400,34.77777777777778,10,1124301,Active
INV000401,21.333333333333332,4,50948,Active
INV000402,47.0,7,929661,At Risk
INV000403,43.2,11,1849245,At Risk
INV000404,355.0,2,61736,At Risk
INV000405,32.5,3,246813,Active
INV000406,16.0,2,165780,Active
INV000407,66.71428571428571,8,444857,At Risk
INV000408,55.5,7,166194,At Risk
INV000409,125.0,4,201679,At Risk
INV000410,56.285714285714285,8,1084023,At Risk
INV000411,57.4,6,359572,At Risk
INV000412,38.25,9,192321,At Risk
INV000413,51.55555555555556,10,688437,At Risk
INV000414,46.4,11,872507,At Risk
INV000415,52.666666666666664,10,270002,At Risk
INV000416,119.0,2,4016,At Risk
INV000417,52.166666666666664,7,716138,At Risk
INV000418,55.625,9,1045868,At Risk
INV000419,91.5,5,330546,At Risk
INV000420,,1,15774,Active
INV000421,80.16666666666667,7,1113182,At Risk
INV000422,,1,4429,Active
INV000423,187.5,3,15602,At Risk
INV000424,100.0,2,453564,At Risk
INV000425,56.333333333333336,7,1344456,At Risk
INV000426,105.0,3,365216,At Risk
INV000427,41.1,11,1139710,At Risk
INV000428,48.1,11,984414,At Risk
INV000429,55.57142857142857,8,663655,At Risk
INV000430,94.6,6,587853,At Risk
INV000431,59.285714285714285,8,1046507,At Risk
INV000432,78.33333333333333,7,908220,At Risk
INV000433,66.5,5,31556,At Risk
INV000434,,1,2353,Active
INV000435,,1,59022,Active
INV000436,58.4,6,289593,At Risk
INV000437,61.125,9,839479,At Risk
INV000438,100.33333333333333,4,160823,At Risk
INV000439,34.45454545454545,12,1803813,Active
INV000440,44.81818181818182,12,999123,At Risk
INV000441,60.714285714285715,8,591940,At Risk
INV000442,145.0,4,309021,At Risk
INV000443,124.25,5,392758,At Risk
INV000444,36.6,11,925543,At Risk
INV000445,46.2,11,90603,At Risk
INV000446,40.888888888888886,10,1160735,At Risk
INV000447,,1,348979,Active
INV000448,100.0,5,1111616,At Risk
INV000449,69.71428571428571,8,557811,At Risk
INV000450,31.0,2,433111,Active
INV000451,33.0,2,645705,Active
INV000452,35.90909090909091,12,511792,At Risk
INV000453,42.0,8,777404,At Risk
INV000454,93.0,6,405276,At Risk
INV000455,123.0,3,565404,At Risk
INV000456,47.4,6,113067,At Risk
INV000457,41.54545454545455,12,1265388,At Risk
INV000458,42.0,12,1520950,At Risk
INV000459,76.75,5,387405,At Risk
INV000460,43.09090909090909,12,2003584,At Risk
INV000461,67.5,3,98422,At Risk
INV000462,79.0,2,53418,At Risk
INV000463,43.44444444444444,10,843755,At Risk
INV000464,,1,9163,Active
INV000465,96.0,5,537322,At Risk
INV000466,48.888888888888886,10,691867,At Risk
INV000467,56.666666666666664,10,65408,At Risk
INV000468,,1,3014,Active
INV000469,38.45454545454545,12,1178685,At Risk
INV000470,148.33333333333334,4,565741,At Risk
INV000471,83.75,5,840782,At Risk
INV000472,195.5,3,354383,At Risk
INV000473,49.57142857142857,8,1506280,At Risk
INV000474,103.5,5,25773,At Risk
INV000475,218.0,3,366110,At Risk
INV000476,45.333333333333336,4,381910,At Risk
INV000477,44.666666666666664,10,2846388,At Risk
INV000478,30.5,3,385016,Active
INV000479,99.0,2,58383,At Risk
INV000480,56.625,9,966963,At Risk
INV000481,52.111111111111114,10,2336031,At Risk
INV000482,47.0,10,1669754,At Risk
INV000483,49.3,11,948622,At Risk
INV000484,,1,44058,Active
INV000485,85.8,6,542383,At Risk
INV000486,86.0,3,1009808,At Risk
INV000487,76.5,7,872294,At Risk
INV000488,75.16666666666667,7,1172431,At Risk
INV000489,87.0,5,308094,At Risk
INV000490,115.5,3,416665,At Risk
INV000491,43.18181818181818,12,2117561,At Risk
INV000492,74.33333333333333,7,1258481,At Risk
INV000493,38.90909090909091,12,485825,At Risk
INV000494,55.166666666666664,7,1163559,At Risk
INV000495,38.54545454545455,12,1799071,At Risk
INV000496,54.166666666666664,7,736381,At Risk
INV000497,54.22222222222222,10,881675,At Risk
INV000498,98.66666666666667,4,896818,At Risk
INV000499,58.375,9,715152,At Risk
INV000500,52.857142857142854,8,1216892,At Risk
INV000501,100.5,3,30878,At Risk
INV000502,,1,5007,Active
INV000503,47.666666666666664,4,702198,At Risk
INV000504,,1,2723,Active
INV000505,82.0,6,464433,At Risk
INV000506,71.5,3,30433,At Risk
INV000507,56.375,9,653580,At Risk
INV000508,124.0,2,440952,At Risk
INV000509,64.25,5,479989,At Risk
INV000510,150.0,4,534447,At Risk
INV000511,62.57142857142857,8,969412,At Risk
INV000512,42.45454545454545,12,348138,At Risk
INV000513,103.0,2,9171,At Risk
INV000514,43.142857142857146,8,1252941,At Risk
INV000515,189.5,3,713355,At Risk
INV000516,340.0,2,145169,At Risk
INV000517,119.0,5,513148,At Risk
INV000518,217.0,2,122149,At Risk
INV000519,74.2,6,725481,At Risk
INV000520,68.2,6,496222,At Risk
INV000521,43.25,9,1888125,At Risk
INV000522,45.81818181818182,12,2234009,At Risk
INV000523,53.111111111111114,10,754087,At Risk
INV000524,41.22222222222222,10,1064264,At Risk
INV000525,49.142857142857146,8,626819,At Risk
INV000526,44.333333333333336,10,2080600,At Risk
INV000527,50.2,11,1270840,At Risk
INV000528,,1,5187,Active
INV000529,41.3,11,1420509,At Risk
INV000530,109.25,5,139391,At Risk
INV000531,28.4,11,1450980,Active
INV000532,48.3,11,1049970,At Risk
INV000533,65.71428571428571,8,711728,At Risk
INV000534,243.0,2,446411,At Risk
INV000535,97.4,6,387497,At Risk
INV000536,93.0,4,684305,At Risk
INV000537,71.0,5,672114,At Risk
INV000538,36.5,5,427250,At Risk
INV000539,57.75,9,1043852,At Risk
INV000540,48.4,11,1749251,At Risk
INV000541,56.0,2,23749,At Risk
INV000542,123.25,5,303276,At Risk
INV000543,71.71428571428571,8,339697,At Risk
INV000544,62.285714285714285,8,1289803,At Risk
INV000545,50.666666666666664,10,1083866,At Risk
INV000546,40.0,12,641715,At Risk
INV000547,43.72727272727273,12,1105411,At Risk
INV000548,67.28571428571429,8,1232866,At Risk
INV000549,53.44444444444444,10,1355332,At Risk
INV000550,111.75,5,150262,At Risk
INV000551,131.0,4,201177,At Risk
INV000552,55.111111111111114,10,804339,At Risk
INV000553,60.0,7,402393,At Risk
INV000554,39.0,10,1471290,At Risk
INV000555,216.5,3,292884,At Risk
INV000556,41.3,11,1204314,At Risk
INV000557,88.0,6,389126,At Risk
INV000558,61.42857142857143,8,1201905,At Risk
INV000559,107.5,5,681567,At Risk
INV000560,87.25,5,433008,At Risk
INV000561,,1,6189,Active
INV000562,62.0,7,196097,At Risk
INV000563,41.63636363636363,12,902361,At Risk
INV000564,90.0,4,386126,At Risk
INV000565,153.0,3,375314,At Risk
INV000566,39.63636363636363,12,1199129,At Risk
INV000567,40.54545454545455,12,2013020,At Risk
INV000568,39.0,9,778052,At Risk
INV000569,42.18181818181818,12,2074454,At Risk
INV000570,47.1,11,799962,At Risk
INV000571,,1,2325,Active
INV000572,112.0,5,540076,At Risk
INV000573,27.727272727272727,12,1579877,Active
INV000574,100.5,3,184546,At Risk
INV000575,52.714285714285715,8,774094,At Risk
INV000576,52.75,9,776886,At Risk
INV000577,43.4,11,1511226,At Risk
INV000578,45.81818181818182,12,1112496,At Risk
INV000579,,1,7859,Active
INV000580,49.25,9,1672022,At Risk
INV000581,42.72727272727273,12,934189,At Risk
INV000582,,1,565701,Active
INV000583,51.75,9,1126230,At Risk
INV000584,63.857142857142854,8,781613,At Risk
INV000585,61.125,9,637360,At Risk
INV000586,44.54545454545455,12,1060394,At Risk
INV000587,33.81818181818182,12,1466513,Active
INV000588,444.0,2,98925,At Risk
INV000589,47.3,11,1053395,At Risk
INV000590,84.66666666666667,4,114679,At Risk
INV000591,55.285714285714285,8,406779,At Risk
INV000592,99.75,5,410122,At Risk
INV000593,43.8,11,1361359,At Risk
INV000594,,1,1095,Active
INV000595,53.44444444444444,10,1591240,At Risk
INV000596,43.27272727272727,12,616551,At Risk
INV000597,63.285714285714285,8,542590,At Risk
INV000598,93.6,6,563446,At Risk
INV000599,54.333333333333336,10,759386,At Risk
INV000600,88.8,6,758701,At Risk
INV000601,32.666666666666664,10,1260961,Active
INV000602,45.77777777777778,10,1004715,At Risk
INV000603,132.66666666666666,4,11214,At Risk
INV000604,42.55555555555556,10,2567253,At Risk
INV000605,223.0,2,518544,At Risk
INV000606,38.27272727272727,12,2504294,At Risk
INV000607,50.22222222222222,10,1158929,At Risk
INV000608,83.5,7,278741,At Risk
INV000609,26.09090909090909,12,1505477,Active
INV000610,,1,307478,Active
INV000611,69.2,6,99839,At Risk
INV000612,44.81818181818182,12,564172,At Risk
INV000613,82.33333333333333,4,709973,At Risk
INV000614,26.0,7,1160425,Active
INV000615,46.125,9,710619,At Risk
INV000616,61.5,9,1066183,At Risk
INV000617,64.0,3,324537,At Risk
INV000618,7.0,2,6996,Active
INV000619,26.0,9,1266245,Active
INV000620,,1,7741,Active
INV000621,47.111111111111114,10,2078077,At Risk
INV000622,89.5,5,21061,At Risk
INV000623,48.44444444444444,10,1311642,At Risk
INV000624,43.75,9,169911,At Risk
INV000625,41.45454545454545,12,1331498,At Risk
INV000626,73.4,6,884040,At Risk
INV000627,236.5,3,315662,At Risk
INV000628,304.0,2,59172,At Risk
INV000629,75.6,6,486977,At Risk
INV000630,54.25,9,768298,At Risk
INV000631,41.375,9,874172,At Risk
INV000632,140.33333333333334,4,601820,At Risk
INV000633,86.2,6,134790,At Risk
INV000634,41.8,11,778120,At Risk
INV000635,53.57142857142857,8,492099,At Risk
INV000636,54.4,6,439817,At Risk
INV000637,64.2,6,929096,At Risk
INV000638,71.0,8,1114765,At Risk
INV000639,50.8,11,2162795,At Risk
INV000640,,1,8756,Active
INV000641,44.857142857142854,8,559752,At Risk
INV000642,50.2,11,919646,At Risk
INV000643,51.5,7,886592,At Risk
INV000644,69.4,6,530205,At Risk
INV000645,30.0,12,1414660,Active
INV000646,37.63636363636363,12,1713396,At Risk
INV000647,105.66666666666667,4,1050135,At Risk
INV000648,65.33333333333333,4,32645,At Risk
INV000649,52.22222222222222,10,1738284,At Risk
INV000650,108.5,5,564853,At Risk
INV000651,70.85714285714286,8,236961,At Risk
INV000652,43.36363636363637,12,1502257,At Risk
INV000653,164.0,2,26554,At Risk
INV000654,91.4,6,955429,At Risk
INV000655,132.0,2,480225,At Risk
INV000656,62.333333333333336,7,1064638,At Risk
INV000657,50.333333333333336,10,433317,At Risk
INV000658,47.375,9,1025622,At Risk
INV000659,125.0,5,258349,At Risk
INV000660,42.0,6,254938,At Risk
INV000661,60.42857142857143,8,725441,At Risk
INV000662,46.3,11,639548,At Risk
INV000663,94.4,6,83316,At Risk
INV000664,46.714285714285715,8,787540,At Risk
INV000665,29.636363636363637,12,746312,Active
INV000666,62.166666666666664,7,496011,At Risk
INV000667,43.54545454545455,12,1593494,At Risk
INV000668,127.0,5,518362,At Risk
INV000669,128.66666666666666,4,1065256,At Risk
INV000670,50.5,5,338140,At Risk
INV000671,38.72727272727273,12,2333315,At Risk
INV000672,37.0,3,409297,At Risk
INV000673,92.8,6,145533,At Risk
INV000674,30.5,3,315027,Active
INV000675,36.63636363636363,12,1342300,At Risk
INV000676,32.09090909090909,12,376497,Active
INV000677,151.0,4,315456,At Risk
INV000678,38.0,11,1054211,At Risk
INV000679,82.25,5,283572,At Risk
INV000680,161.5,3,325752,At Risk
INV000681,137.5,3,11354,At Risk
INV000682,96.6,6,1312144,At Risk
INV000683,50.6,11,223475,At Risk
INV000684,111.5,5,498030,At Risk
INV000685,11.0,2,429968,Active
INV000686,203.0,2,217482,At Risk
INV000687,88.5,5,483920,At Risk
